East Asia and Pacific,Eastern Europe and Central Asia,Eastern and Southern Africa,Europe and Central Asia,Latin America and Caribbean,Middle East and North Africa,North America,South Asia,Sub-Saharan Africa,West and Central Africa,Western Europe
2370209.54,430446.476,734691.144,933905.194,677377.481,552164.549,394479.327,2063779.211,1437780.753,703089.609,503458.718
2370140.88,430893.059,751339.435,934065.867,681165.757,559633.412,396373.801,2083837.143,1470856.081,719516.646,503172.808
2369681.301,431307.699,768086.27,934131.105,684823.544,566904.394,398237.139,2103707.29,1504161.437,736075.167,502823.406
2368755.768,431651.658,784955.822,934034.738,688350.385,574132.75,400065.522,2123252.326,1537766.73,752810.908,502383.08
2367402.988,431999.226,801844.86,933930.453,691738.74,581307.445,401857.962,2142411.62,1571520.927,769676.067,501931.227
2365606.077,432329.527,818797.573,933778.221,694991.708,588439.449,403606.115,2161230.647,1605452.448,786654.875,501448.694
2363426.212,432642.154,835906.979,933573.093,698112.26,595531.568,405350.451,2179552.738,1639614.025,803707.046,500930.939
2360851.676,432957.278,853141.261,933324.263,701085.293,602587.701,407029.515,2197457.628,1673978.576,820837.315,500366.985
2357864.067,433280.127,870356.869,933031.259,703903.653,609618.539,408682.705,2214974.593,1708427.881,838071.012,499751.132
2354503.535,433588.562,887645.126,932698.537,706568.845,616623.717,410308.047,2231961.979,1742950.433,855305.307,499109.975
2350802.279,433904.795,904939.408,932345.658,709091.509,623587.179,411906.768,2248457.552,1777549.972,872610.564,498440.863
2346626.528,434215.282,922269.185,931932.398,711443.556,630546.546,413425.587,2264521.102,1812240.925,889971.74,497717.116
2342025.731,434558.104,939687.25,931541.3,713638.752,637452.741,414895.879,2280115.293,1847014.969,907327.719,496983.196
2336964.246,434897.981,957082.389,931144.658,715655.46,644268.708,416318.888,2295219.549,1881816.977,924734.588,496246.677
2331486.329,435264.583,974487.014,930732.105,717504.292,651003.797,417734.555,2309740.229,1916636.801,942149.787,495467.522
2325558.682,435604.336,991961.458,930222.769,719172.283,657620.502,419069.072,2323821.968,1951526.135,959564.677,494618.433
2319115.531,435953.274,1009402.635,929667.959,720673.348,664159.034,420341.027,2337423.695,1986383.079,976980.444,493714.685
2312089.204,436284.335,1026794.842,929039.329,721996.419,670593.859,421572.11,2350592.753,2021168.289,994373.447,492754.994
2304422.234,436602.22,1044195.951,928347.811,723156.519,676865.623,422724.854,2363357.328,2055942.519,1011746.568,491745.591
2296119.104,436849.446,1061659.496,927517.655,724155.324,683052.286,423857.653,2375523.862,2090733.468,1029073.972,490668.209
2287134.663,437028.768,1079029.171,926557.812,724990.347,689150.833,424928.27,2387222.064,2125422.69,1046393.519,489529.044
2277400.393,437115.104,1096372.492,925418.946,725644.572,695143.038,425959.441,2398572.443,2160006.002,1063633.51,488303.842
2266990.035,437126.129,1113615.023,924158.609,726161.919,701004.268,426978.142,2409378.161,2194469.142,1080854.119,487032.48
2255794.435,437065.905,1130933.626,922764.143,726511.282,706704.399,427981.577,2419678.428,2228974.041,1098040.415,485698.238
2243828.875,436944.889,1148135.067,921249.694,726712.705,712252.461,428951.839,2429645.081,2263293.466,1115158.399,484304.805
2231242.604,436720.84,1165224.497,919515.05,726748.136,717723.59,429908.845,2439206.374,2297414.366,1132189.869,482794.21
2217985.454,436429.791,1182324.441,917662.438,726631.93,723056.985,430809.426,2448283.813,2331436.558,1149112.117,481232.647
2204130.205,436063.44,1199352.48,915653.181,726371.75,728217.047,431693.313,2457002.955,2365332.636,1165980.156,479589.741
2189726.443,435634.989,1216306.722,913539.557,725962.913,733257.183,432599.654,2465330.328,2399016.875,1182710.153,477904.568
2174889.445,435158.623,1233099.397,911346.225,725406.078,738144.957,433562.367,2473230.285,2432425.963,1199326.566,476187.602
2159639.666,434619.753,1249782.974,909078.129,724722.46,742907.755,434577.435,2480622.361,2465640.383,1215857.409,474458.376
2144052.126,434029.535,1266515.673,906725.399,723887.313,747569.772,435572.963,2487446.724,2498801.301,1232285.628,472695.864
